id,year,issue_d,final_d,emp_length_int,home_ownership,home_ownership_cat,income_category,annual_inc,income_cat,loan_amount,term,term_cat,application_type,application_type_cat,purpose,purpose_cat,interest_payments,interest_payment_cat,loan_condition,loan_condition_cat,interest_rate,grade,grade_cat,dti,total_pymnt,total_rec_prncp,recoveries,installment,region,profitability,risk_flag,loan_year,default_rate_indicator,income_to_loan_ratio
2083185,2012,2012-11-01,1122015,10.0,OWN,2,Low,75650,1,20000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.75,D,4,25.03,19089.49,10091.46,0.0,516.07,leinster,-910.5099999999984,0,2012,0.15946336078797657,3.7825
4104726,2013,2013-04-01,1012016,0.5,RENT,1,Low,62500,1,2800,36,1,INDIVIDUAL,1,other,4,High,2,GOOD LOAN,0,21.0,E,5,33.12,3480.7,2494.26,0.0,105.5,Northern-Irl,680.6999999999998,0,2013,0.13883089770354906,22.321428571428573
8095621,2013,2013-10-01,1052014,10.0,MORTGAGE,3,Low,48000,1,11000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,BAD LOAN,1,16.2,C,3,29.35,3310.94,876.0,1430.33,268.67,Northern-Irl,-7689.0599999999995,1,2013,0.13883089770354906,4.363636363636363
10125693,2013,2013-12-01,1012016,8.0,MORTGAGE,3,Low,80000,1,20000,36,1,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,14.98,C,3,29.36,16634.71,12320.16,0.0,693.12,leinster,-3365.290000000001,0,2013,0.13883089770354906,4.0
6937782,2013,2013-09-01,1012016,9.0,MORTGAGE,3,Low,32500,1,4550,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,8.9,A,1,17.83,4043.59,3430.47,0.0,144.48,leinster,-506.40999999999985,0,2013,0.13883089770354906,7.142857142857143
1428822,2012,2012-08-01,1082015,2.0,MORTGAGE,3,Low,65000,1,20000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.09,B,2,13.29,24636.16292,20000.0,0.0,684.43,ulster,4636.162919999999,0,2012,0.15946336078797657,3.25
7284846,2013,2013-09-01,1022014,5.0,MORTGAGE,3,Low,42000,1,12300,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.55,D,4,8.31,13210.2,12300.0,0.0,448.08,cannught,910.2000000000007,0,2013,0.13883089770354906,3.4146341463414633
31498060,2014,2014-10-01,1012016,1.0,RENT,1,Low,75000,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,13.35,C,3,25.28,4733.4,3424.08,0.0,338.63,munster,-5266.6,0,2014,0.07904642409033877,7.5
3677258,2013,2013-11-01,1042015,8.0,RENT,1,Medium,115000,2,35000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,9.67,B,2,10.24,38774.7,35000.0,0.0,1123.94,leinster,3774.699999999997,0,2013,0.13883089770354906,3.2857142857142856
34323567,2014,2014-11-01,1012016,8.0,MORTGAGE,3,Low,51000,1,13200,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.99,D,4,33.46,4481.29,2216.16,0.0,320.93,Northern-Irl,-8718.71,0,2014,0.07904642409033877,3.8636363636363638
6187620,2013,2013-08-01,1062014,5.0,RENT,1,Low,47000,1,5000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.52,D,4,28.76,5734.342926,5000.0,0.0,184.6,ulster,734.3429260000003,0,2013,0.13883089770354906,9.4
1834640,2012,2012-11-01,1082013,5.0,OTHER,4,Low,45000,1,10000,36,1,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,15.8,C,3,21.04,11076.9,10000.0,0.0,350.59,Northern-Irl,1076.8999999999996,0,2012,0.15946336078797657,4.5
4297575,2013,2013-04-01,1122014,5.0,RENT,1,Low,49000,1,14000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,8.9,A,1,24.49,15605.237,14000.0,0.0,444.55,munster,1605.2369999999992,0,2013,0.13883089770354906,3.5
32409669,2014,2014-10-01,1122015,1.0,RENT,1,Low,33000,1,10000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,22.15,E,5,32.55,3854.09,1461.92,0.0,277.05,leinster,-6145.91,0,2014,0.07904642409033877,3.3
2382301,2013,2013-01-01,1012016,6.0,RENT,1,Low,45000,1,9000,36,1,INDIVIDUAL,1,car,2,High,2,GOOD LOAN,0,14.33,C,3,23.69,11125.49,9000.0,0.0,309.05,ulster,2125.49,0,2013,0.13883089770354906,5.0
603303,2010,2010-11-01,1112013,4.0,RENT,1,Low,78000,1,25000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.57,D,4,22.45,31437.27,25000.0,0.0,873.63,leinster,6437.27,0,2010,0.14953933380581147,3.12
676495,2011,2011-02-01,1122011,3.0,RENT,1,Low,14400,1,1800,36,1,INDIVIDUAL,1,moving,10,Low,1,GOOD LOAN,0,6.92,A,1,6.42,1884.0,1800.0,0.0,55.52,leinster,84.0,0,2011,0.15083210448704445,8.0
2826815,2013,2013-01-01,1012016,10.0,RENT,1,Low,60000,1,7000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.75,D,4,17.22,9205.47,7000.0,0.0,255.71,cannught,2205.4699999999993,0,2013,0.13883089770354906,8.571428571428571
9877712,2013,2013-12-01,1052015,2.0,MORTGAGE,3,Low,63000,1,10000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,9.67,B,2,14.65,11136.20529,10000.0,0.0,321.13,cannught,1136.2052899999999,0,2013,0.13883089770354906,6.3
3734098,2013,2013-04-01,1012016,1.0,MORTGAGE,3,Low,62500,1,21000,60,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,13.11,B,2,22.66,15806.1,9851.86,0.0,479.0,munster,-5193.9,0,2013,0.13883089770354906,2.9761904761904763
1174375,2012,2012-03-01,1052014,0.5,OWN,2,Low,37440,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.81,C,3,10.74,12375.66731,10000.0,0.0,350.64,ulster,2375.6673100000007,0,2012,0.15946336078797657,3.744
6297953,2013,2013-07-01,1012016,10.0,RENT,1,Low,42000,1,15000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.88,C,3,17.11,10905.15,6035.6,0.0,363.82,Northern-Irl,-4094.8500000000004,0,2013,0.13883089770354906,2.8
1142699,2012,2012-03-01,1032015,8.0,RENT,1,Low,39302,1,14000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,7.9,A,1,18.08,15769.63615,14000.0,0.0,438.07,leinster,1769.6361500000003,0,2012,0.15946336078797657,2.8072857142857144
33150137,2014,2014-11-01,1082015,10.0,RENT,1,Low,24000,1,8000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,BAD LOAN,1,10.15,B,2,19.7,2323.88,1778.73,0.0,258.71,Northern-Irl,-5676.12,1,2014,0.07904642409033877,3.0
3236432,2013,2013-02-01,1012016,2.0,RENT,1,Low,47000,1,15000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,13.11,B,2,10.03,17711.11,14495.02,0.0,506.21,munster,2711.1100000000006,0,2013,0.13883089770354906,3.1333333333333333
3016808,2013,2013-01-01,1042013,10.0,MORTGAGE,3,Medium,116000,2,16000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,21.49,E,5,16.78,16841.25,16000.0,0.0,606.84,leinster,841.25,0,2013,0.13883089770354906,7.25
478412,2010,2010-01-01,1052011,7.0,MORTGAGE,3,Low,90000,1,17600,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.35,E,5,17.35,20454.76,17600.0,0.0,621.8,Northern-Irl,2854.7599999999984,0,2010,0.14953933380581147,5.113636363636363
36088964,2014,2014-11-01,1012016,0.5,MORTGAGE,3,Low,40000,1,8325,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.99,C,3,16.26,3770.53,2587.56,0.0,288.55,Northern-Irl,-4554.469999999999,0,2014,0.07904642409033877,4.804804804804805
20692144,2014,2014-10-01,1012016,7.0,MORTGAGE,3,Low,35000,1,14700,36,1,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,13.98,C,3,25.47,7505.51,5391.31,0.0,502.27,Northern-Irl,-7194.49,0,2014,0.07904642409033877,2.380952380952381
4185966,2013,2013-04-01,1092014,5.0,MORTGAGE,3,Low,55900,1,24575,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,21.49,E,5,17.32,31071.76656,24575.0,0.0,671.63,munster,6496.76656,0,2013,0.13883089770354906,2.2746693794506614
34742714,2014,2014-11-01,1012016,10.0,MORTGAGE,3,Low,65000,1,3000,36,1,INDIVIDUAL,1,medical,9,High,2,GOOD LOAN,0,14.31,C,3,18.0,1439.48,1017.55,0.0,102.99,leinster,-1560.52,0,2014,0.07904642409033877,21.666666666666668
36390165,2014,2014-11-01,1122015,1.0,RENT,1,Low,80000,1,4375,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.49,D,4,9.99,2005.42,1338.75,0.0,154.88,munster,-2369.58,0,2014,0.07904642409033877,18.285714285714285
31607859,2014,2014-10-01,1012016,3.0,OWN,2,Low,25000,1,4000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,8.39,A,1,5.86,1763.12,1437.64,0.0,126.07,leinster,-2236.88,0,2014,0.07904642409033877,6.25
428433,2009,2009-08-01,1022011,2.0,MORTGAGE,3,Low,70000,1,14000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.7,E,5,12.75,16807.01,14000.0,0.0,497.02,leinster,2807.0099999999984,0,2009,0.14492753623188406,5.0
476995,2010,2010-01-01,1022013,0.5,MORTGAGE,3,Low,90000,1,14500,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,11.83,B,2,17.81,17285.04,14500.0,0.0,480.45,leinster,2785.040000000001,0,2010,0.14953933380581147,6.206896551724138
420276,2009,2009-07-01,1072012,10.0,MORTGAGE,3,Low,90000,1,10000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,12.21,B,2,22.47,11991.29,10000.0,0.0,333.15,leinster,1991.2900000000009,0,2009,0.14492753623188406,9.0
4279831,2013,2013-04-01,1012016,3.0,RENT,1,Low,70000,1,10800,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,17.27,C,3,10.32,12378.06,9308.36,0.0,386.51,munster,1578.0599999999995,0,2013,0.13883089770354906,6.481481481481482
3676972,2013,2013-03-01,1102014,10.0,MORTGAGE,3,Medium,145000,2,24000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.05,D,4,28.93,30502.26277,24000.0,0.0,623.24,munster,6502.262770000001,0,2013,0.13883089770354906,6.041666666666667
439566,2009,2009-09-01,1092012,4.0,RENT,1,Low,63000,1,20000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.61,D,4,14.72,24818.25,19999.99,0.0,689.51,Northern-Irl,4818.25,0,2009,0.14492753623188406,3.15
1442400,2012,2012-08-01,1082015,3.0,MORTGAGE,3,Low,65000,1,6400,36,1,INDIVIDUAL,1,home_improvement,7,Low,1,GOOD LOAN,0,12.12,B,2,14.31,7665.259459,6400.0,0.0,212.94,ulster,1265.2594589999999,0,2012,0.15946336078797657,10.15625
514479,2010,2010-05-01,1012012,1.0,RENT,1,Low,16000,1,3000,36,1,INDIVIDUAL,1,other,4,High,2,GOOD LOAN,0,13.85,C,3,3.0,3465.64,3000.0,0.0,102.32,leinster,465.6399999999999,0,2010,0.14953933380581147,5.333333333333333
1030324,2011,2011-11-01,1022014,10.0,MORTGAGE,3,Low,88000,1,16000,36,1,INDIVIDUAL,1,other,4,Low,1,GOOD LOAN,0,11.71,B,2,19.95,18774.27,16000.0,0.0,529.22,munster,2774.2700000000004,0,2011,0.15083210448704445,5.5
8314792,2013,2013-10-01,1122015,1.0,RENT,1,Low,75000,1,16000,60,2,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,17.1,C,3,25.6,10361.26,5320.82,0.0,398.51,Northern-Irl,-5638.74,0,2013,0.13883089770354906,4.6875
6916682,2013,2013-09-01,1112015,10.0,MORTGAGE,3,Medium,169500,2,35000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.52,D,4,18.28,47979.79999,35000.0,0.0,917.97,munster,12979.79999,0,2013,0.13883089770354906,4.8428571428571425
593988,2010,2010-10-01,1092012,3.0,MORTGAGE,3,Low,40000,1,4800,60,2,INDIVIDUAL,1,car,2,Low,1,GOOD LOAN,0,7.88,A,1,21.14,5405.95,4800.0,0.0,97.06,ulster,605.9499999999998,0,2010,0.14953933380581147,8.333333333333334
1447136,2012,2012-08-01,1122014,0.5,RENT,1,Low,80000,1,13000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,17.77,D,4,26.85,16625.51611,13000.0,0.0,468.49,ulster,3625.5161100000005,0,2012,0.15946336078797657,6.153846153846154
26368945,2014,2014-09-01,1012016,0.5,RENT,1,Low,45000,1,8000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,7.69,A,1,20.45,3992.8,3329.67,0.0,249.55,cannught,-4007.2,0,2014,0.07904642409033877,5.625
36500672,2014,2014-12-01,1062015,10.0,MORTGAGE,3,Low,100000,1,32000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,BAD LOAN,1,18.54,E,5,33.77,4866.2,2043.23,0.0,822.02,Northern-Irl,-27133.8,1,2014,0.07904642409033877,3.125
31498126,2014,2014-10-01,1122015,10.0,RENT,1,Low,100000,1,10000,36,1,INDIVIDUAL,1,small_business,3,High,2,GOOD LOAN,0,13.35,C,3,10.57,4725.99,3424.08,0.0,338.63,ulster,-5274.01,0,2014,0.07904642409033877,10.0
4524785,2013,2013-04-01,1012016,7.0,RENT,1,Low,41000,1,1000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.05,D,4,33.75,1173.18,858.73,0.0,36.69,Northern-Irl,173.18000000000006,0,2013,0.13883089770354906,41.0
4525571,2013,2013-04-01,1122013,2.0,RENT,1,Low,36000,1,3200,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.09,B,2,22.27,3444.71,3200.0,0.0,109.51,leinster,244.71000000000004,0,2013,0.13883089770354906,11.25
5978031,2013,2013-07-01,1012016,6.0,RENT,1,Low,38750,1,12875,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.78,C,3,16.85,9553.8,5115.8,0.0,318.46,cannught,-3321.2000000000007,0,2013,0.13883089770354906,3.0097087378640777
6535391,2013,2013-08-01,1012016,1.0,RENT,1,Low,50000,1,15000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,11.55,B,2,21.36,14352.42,11662.89,0.0,495.0,Northern-Irl,-647.5799999999999,0,2013,0.13883089770354906,3.3333333333333335
3665875,2013,2013-03-01,1122015,0.5,MORTGAGE,3,Low,71000,1,5500,36,1,INDIVIDUAL,1,home_improvement,7,High,2,BAD LOAN,1,18.75,D,4,22.33,6627.06,4911.23,0.0,200.92,Northern-Irl,1127.0600000000004,1,2013,0.13883089770354906,12.909090909090908
7675219,2013,2013-10-01,1012016,1.0,MORTGAGE,3,Low,88500,1,16500,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,6.97,A,1,17.24,13748.63,12046.31,0.0,509.25,Northern-Irl,-2751.370000000001,0,2013,0.13883089770354906,5.363636363636363
7064137,2013,2013-09-01,1012016,8.0,RENT,1,Low,85000,1,6000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,17.56,D,4,10.83,6036.15,4383.38,0.0,215.6,ulster,36.149999999999636,0,2013,0.13883089770354906,14.166666666666666
28983768,2014,2014-10-01,1122015,10.0,MORTGAGE,3,Low,36000,1,4225,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,6.03,A,1,24.2,2929.0,2700.93,0.0,128.6,Northern-Irl,-1296.0,0,2014,0.07904642409033877,8.520710059171599
9675079,2013,2013-12-01,1012016,10.0,MORTGAGE,3,Low,57000,1,20000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,8.9,A,1,6.27,15876.75,13315.58,0.0,635.07,munster,-4123.25,0,2013,0.13883089770354906,2.85
9204834,2013,2013-12-01,1012016,10.0,MORTGAGE,3,Low,99000,1,35000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.99,B,2,16.87,28633.69,23057.13,0.0,1145.69,cannught,-6366.310000000001,0,2013,0.13883089770354906,2.8285714285714287
18996122,2014,2014-10-01,1102015,10.0,OWN,2,Low,57000,1,17050,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,BAD LOAN,1,19.52,E,5,34.83,7585.23,4585.39,0.0,629.48,cannught,-9464.77,1,2014,0.07904642409033877,3.343108504398827
27160077,2014,2014-09-01,1122015,3.0,MORTGAGE,3,Low,30000,1,12000,60,2,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,12.99,C,3,16.28,4094.7,2316.71,0.0,272.98,ulster,-7905.3,0,2014,0.07904642409033877,2.5
5755545,2013,2013-06-01,1012016,1.0,RENT,1,Low,46000,1,20700,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,13.11,B,2,20.63,21650.87,17315.73,0.0,698.57,ulster,950.869999999999,0,2013,0.13883089770354906,2.2222222222222223
32419508,2014,2014-10-01,1012016,10.0,MORTGAGE,3,Low,90000,1,35000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.99,B,2,25.2,16018.29,12265.6,0.0,1145.69,leinster,-18981.71,0,2014,0.07904642409033877,2.5714285714285716
7384651,2013,2013-09-01,1092014,10.0,MORTGAGE,3,Low,75000,1,9000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,6.03,A,1,14.58,9405.116887,9000.0,0.0,273.92,ulster,405.11688700000013,0,2013,0.13883089770354906,8.333333333333334
19016143,2014,2014-10-01,1122015,7.0,RENT,1,Low,52000,1,10000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.15,B,2,21.25,11024.83,10000.0,0.0,323.38,ulster,1024.83,0,2014,0.07904642409033877,5.2
5038198,2013,2013-05-01,1042015,7.0,RENT,1,Low,74000,1,12000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,BAD LOAN,1,21.0,E,5,22.56,7466.95,3212.57,0.0,324.65,ulster,-4533.05,1,2013,0.13883089770354906,6.166666666666667
883037,2011,2011-09-01,1022013,1.0,RENT,1,Low,60000,1,7000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,20.89,F,6,5.68,7956.8,7000.0,0.0,263.34,munster,956.8000000000002,0,2011,0.15083210448704445,8.571428571428571
2296332,2012,2012-12-01,1102015,10.0,MORTGAGE,3,Low,65000,1,5000,36,1,INDIVIDUAL,1,home_improvement,7,High,2,BAD LOAN,1,17.27,C,3,20.82,6075.98,4644.63,0.0,178.94,leinster,1075.9799999999996,1,2012,0.15946336078797657,13.0
1438470,2012,2012-08-01,1012015,5.0,RENT,1,Low,40000,1,6000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,8.9,A,1,16.86,6821.527328,6000.0,0.0,190.52,ulster,821.5273280000001,0,2012,0.15946336078797657,6.666666666666667
5165283,2013,2013-05-01,1012016,2.0,RENT,1,Low,35000,1,12000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,19.72,D,4,22.22,9788.82,4751.79,0.0,316.06,ulster,-2211.1800000000003,0,2013,0.13883089770354906,2.9166666666666665
29564796,2014,2014-10-01,1012016,3.0,MORTGAGE,3,Low,52000,1,6000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,14.49,C,3,14.84,3097.5,2189.93,0.0,206.5,leinster,-2902.5,0,2014,0.07904642409033877,8.666666666666666
29234146,2014,2014-10-01,1012016,3.0,OWN,2,Low,40000,1,11000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.24,D,4,14.46,4183.68,1897.31,0.0,280.77,leinster,-6816.32,0,2014,0.07904642409033877,3.6363636363636362
3639447,2013,2013-03-01,1052013,0.5,MORTGAGE,3,Low,59000,1,19250,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.29,C,3,27.72,19767.67,19250.0,0.0,679.54,cannught,517.6699999999983,0,2013,0.13883089770354906,3.064935064935065
26297884,2014,2014-09-01,1012016,6.05,RENT,1,Low,47000,1,4000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,13.98,C,3,20.28,2186.88,1574.32,0.0,136.68,ulster,-1813.12,0,2014,0.07904642409033877,11.75
28512815,2014,2014-10-01,1012016,1.0,MORTGAGE,3,Low,59000,1,19425,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,10.99,B,2,18.25,9537.9,7327.74,0.0,635.86,leinster,-9887.1,0,2014,0.07904642409033877,3.0373230373230373
3706483,2013,2013-03-01,1072015,8.0,RENT,1,Low,41900,1,15000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.49,D,4,29.13,19385.79891,15000.0,0.0,545.99,ulster,4385.798910000001,0,2013,0.13883089770354906,2.7933333333333334
1025186,2011,2011-11-01,1052013,10.0,OWN,2,Low,59500,1,11300,60,2,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,12.69,B,2,13.37,13113.48,11300.01,0.0,255.33,Northern-Irl,1813.4799999999996,0,2011,0.15083210448704445,5.265486725663717
33079775,2014,2014-10-01,1122015,10.0,MORTGAGE,3,Low,80000,1,4000,36,1,INDIVIDUAL,1,car,2,Low,1,GOOD LOAN,0,10.15,B,2,24.15,1808.78,1413.45,0.0,129.36,ulster,-2191.2200000000003,0,2014,0.07904642409033877,20.0
5615970,2013,2013-06-01,1042015,6.0,MORTGAGE,3,Low,58600,1,17625,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,16.29,C,3,17.75,22358.87134,17625.0,0.0,431.33,ulster,4733.8713400000015,0,2013,0.13883089770354906,3.324822695035461
2844690,2013,2013-01-01,1092015,0.5,MORTGAGE,3,Low,38880,1,10000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,BAD LOAN,1,11.14,B,2,6.7,10497.92,8718.05,0.0,328.06,leinster,497.9200000000001,1,2013,0.13883089770354906,3.888
1578242,2012,2012-10-01,1082015,3.0,MORTGAGE,3,Low,70000,1,27300,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,8.9,A,1,27.31,31197.43597,27300.0,0.0,866.87,Northern-Irl,3897.4359699999986,0,2012,0.15946336078797657,2.5641025641025643
26469445,2014,2014-09-01,1062015,3.0,MORTGAGE,3,Low,67500,1,8400,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,8.39,A,1,13.4,8881.92,8400.0,0.0,264.74,leinster,481.9200000000001,0,2014,0.07904642409033877,8.035714285714286
7390281,2013,2013-10-01,1012016,10.0,MORTGAGE,3,Low,50000,1,13250,60,2,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,16.2,C,3,14.66,8738.01,4678.13,0.0,323.63,Northern-Irl,-4511.99,0,2013,0.13883089770354906,3.7735849056603774
7705207,2013,2013-10-01,1032015,0.5,RENT,1,Low,65000,1,20000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,15.61,C,3,17.08,23684.01155,20000.0,0.0,699.3,Northern-Irl,3684.0115499999993,0,2013,0.13883089770354906,3.25
3148669,2013,2013-01-01,1112014,7.0,RENT,1,Low,75000,1,7000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,12.12,B,2,9.62,8150.197131,7000.0,0.0,232.91,ulster,1150.197131,0,2013,0.13883089770354906,10.714285714285714
1008716,2011,2011-11-01,1042012,0.5,RENT,1,Low,43000,1,20000,36,1,INDIVIDUAL,1,credit_card,1,Low,1,BAD LOAN,1,11.71,B,2,18.2,3303.4,2374.7,0.0,661.52,Northern-Irl,-16696.6,1,2011,0.15083210448704445,2.15
25937914,2014,2014-09-01,1012016,10.0,MORTGAGE,3,Low,46698,1,1000,36,1,INDIVIDUAL,1,vacation,11,High,2,GOOD LOAN,0,13.35,C,3,19.07,541.92,395.92,0.0,33.87,munster,-458.08000000000004,0,2014,0.07904642409033877,46.698
1291126,2012,2012-05-01,1052015,7.0,MORTGAGE,3,Low,63000,1,15000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,17.99,D,4,17.2,19512.39986,15000.0,0.0,542.22,ulster,4512.399860000001,0,2012,0.15946336078797657,4.2
8844747,2013,2013-11-01,1012016,3.0,RENT,1,Medium,108000,2,24000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,11.99,B,2,15.51,20722.6,16450.67,0.0,797.03,cannught,-3277.4000000000015,0,2013,0.13883089770354906,4.5
9067797,2013,2013-12-01,1012016,1.0,OWN,2,Low,60000,1,15000,60,2,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.55,D,4,19.1,9635.13,4642.39,0.0,385.41,munster,-5364.870000000001,0,2013,0.13883089770354906,4.0
2226244,2012,2012-11-01,1122014,6.05,OWN,2,Low,23000,1,6625,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,11.14,B,2,10.12,7682.196686,6625.0,0.0,217.34,Northern-Irl,1057.1966860000002,0,2012,0.15946336078797657,3.4716981132075473
27079786,2014,2014-09-01,1012016,1.0,RENT,1,Low,53000,1,3700,36,1,INDIVIDUAL,1,credit_card,1,Low,1,GOOD LOAN,0,6.49,A,1,10.71,1814.24,1556.23,0.0,113.39,Northern-Irl,-1885.76,0,2014,0.07904642409033877,14.324324324324325
6177590,2013,2013-07-01,1112013,0.5,MORTGAGE,3,Medium,165000,2,24000,36,1,INDIVIDUAL,1,debt_consolidation,6,Low,1,GOOD LOAN,0,8.9,A,1,3.87,24431.76,24000.0,0.0,762.08,ulster,431.7599999999984,0,2013,0.13883089770354906,6.875
9054762,2013,2013-11-01,1012015,10.0,OWN,2,Low,47000,1,11000,36,1,INDIVIDUAL,1,credit_card,1,High,2,GOOD LOAN,0,13.67,B,2,23.0,12272.06255,11000.0,0.0,374.2,cannught,1272.0625500000006,0,2013,0.13883089770354906,4.2727272727272725
7729270,2013,2013-10-01,1012015,4.0,MORTGAGE,3,Low,62212,1,9000,36,1,INDIVIDUAL,1,debt_consolidation,6,High,2,GOOD LOAN,0,18.55,D,4,18.27,10813.19,9000.0,0.0,327.87,ulster,1813.1900000000005,0,2013,0.13883089770354906,6.912444444444445
